, acc 1
2019-04-15T11:32:42.267739: step 13950, loss 6.70816e-06, acc 1
2019-04-15T11:32:42.410360: step 13951, loss 0.0307224, acc 0.984375
2019-04-15T11:32:42.561953: step 13952, loss 2.34692e-07, acc 1
2019-04-15T11:32:42.722524: step 13953, loss 3.96742e-07, acc 1
2019-04-15T11:32:42.867137: step 13954, loss 0.000144241, acc 1
2019-04-15T11:32:43.008758: step 13955, loss 0.000679845, acc 1
2019-04-15T11:32:43.154369: step 13956, loss 0.00191492, acc 1
2019-04-15T11:32:43.322919: step 13957, loss 5.35607e-06, acc 1
2019-04-15T11:32:43.471522: step 13958, loss 3.1665e-08, acc 1
2019-04-15T11:32:43.621120: step 13959, loss 2.85901e-06, acc 1
2019-04-15T11:32:43.763739: step 13960, loss 9.90825e-06, acc 1
2019-04-15T11:32:43.906358: step 13961, loss 1.30746e-05, acc 1
2019-04-15T11:32:44.050970: step 13962, loss 0.00210433, acc 1
2019-04-15T11:32:44.194587: step 13963, loss 5.05483e-05, acc 1
2019-04-15T11:32:44.335211: step 13964, loss 4.47035e-08, acc 1
2019-04-15T11:32:44.490795: step 13965, loss 0.000293818, acc 1
2019-04-15T11:32:44.640394: step 13966, loss 1.79068e-05, acc 1
2019-04-15T11:32:44.782017: step 13967, loss 0.015453, acc 0.984375
2019-04-15T11:32:44.925632: step 13968, loss 3.22235e-07, acc 1
2019-04-15T11:32:45.071242: step 13969, loss 7.37286e-05, acc 1
2019-04-15T11:32:45.214857: step 13970, loss 3.87428e-07, acc 1
2019-04-15T11:32:45.355482: step 13971, loss 0.000113536, acc 1
2019-04-15T11:32:45.498099: step 13972, loss 5.36456e-05, acc 1
2019-04-15T11:32:45.646703: step 13973, loss 4.08426e-06, acc 1
2019-04-15T11:32:45.782342: step 13974, loss 7.18516e-06, acc 1
2019-04-15T11:32:45.919973: step 13975, loss 6.5992e-05, acc 1
2019-04-15T11:32:46.052674: step 13976, loss 1.19209e-07, acc 1
2019-04-15T11:32:46.186317: step 13977, loss 1.77878e-06, acc 1
2019-04-15T11:32:46.322951: step 13978, loss 5.69151e-06, acc 1
2019-04-15T11:32:46.454599: step 13979, loss 8.41886e-06, acc 1
2019-04-15T11:32:46.592231: step 13980, loss 2.42143e-07, acc 1
2019-04-15T11:32:46.738839: step 13981, loss 3.57975e-06, acc 1
2019-04-15T11:32:46.873519: step 13982, loss 1.00581e-06, acc 1
2019-04-15T11:32:47.008161: step 13983, loss 3.30981e-06, acc 1
2019-04-15T11:32:47.140764: step 13984, loss 6.6352e-06, acc 1
2019-04-15T11:32:47.275403: step 13985, loss 1.59621e-06, acc 1
2019-04-15T11:32:47.409047: step 13986, loss 4.33991e-07, acc 1
2019-04-15T11:32:47.547675: step 13987, loss 6.82324e-05, acc 1
2019-04-15T11:32:47.692289: step 13988, loss 8.72265e-06, acc 1
