,content,rating
0,"The North Carolina bathroom bill ""was really never repealed.""",1
1,"Democrats on the House Ways and Means Committee weren't ""even entitled to bring an expert witness on any aspect of the tax code that affects 100 percent of our economy.""",1
2,"""Pope Francis at Mass: 'Jesus is Metaphorical, Not Literal.""",1
3,"""The average cost for infant care in GA is almost $7,700/yr 每 more than average in-state college tuition.""",1
4,"Says Paul Ryan is leading the effort to ""pass a tax bill with divisive conception language by disguising it as a college savings plan"" in ""another attempt to ban abortion and rob women of their reproductive rights.""",1
5,"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",1
6,"""'The largest bust in U.S. history' 412 Muslims arrested from Michigan!""",1
7,"""We've cut taxes 75 times, cut $7.5 billion worth in taxes, and as a result we've added over 1.3 million jobs.""",1
8,"Says Doug Jones ""is for full-term abortion.""",1
9,"""On the personal tax side, middle-income people are getting cuts and rich people are getting very little cuts or, in certain cases, increases"" under the Republican tax bills.",1
10,"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",1
11,"""2 million rounds of ammo that 'went missing' under Obama turns up in enemy hands""",1
12,"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",1
13,"""Earlier this year, Dan Patrick and Republican leadership snatched millions of dollars in benefits from retired teachers.""",1
14,"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",1
15,"""Bump stocks are already illegal in the state of New York. You can't buy one.""",1
16,"""When Phoenix dropped its sanctuary city policy in 2008, its murder rate fell 27 percent the following year.""",1
17,"Under Scott Walker, ""average wages, when adjusted for inflation, are lower today than they were under Jim Doyle.""",1
18,"Iran's regime ""every Friday declares war on us.""",1
19,"""The Texas unemployment rate is now the lowest it's been in 40 years & Texas led the nation last month in new job creation.""",1
20,Bowe Bergdahl wanders off during court-martial,1
21,"Congressional Republicans ""want to take health care from millions of Americans in order to pay for"" a tax bill.",1
22,"Californians pay ""the highest electricity bills"" in the nation.",1
23,"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",1
24,"BREAKING: Rosa Parks' Granddaughter SLAMS Racist Democrats, Endorses Trump",1
25,Donna Brazile knows Seth Rich was murdered by the Clintons,1
26,"Says a Washington Post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate Roy Moore"" for up to $7,000.",1
27,"""Breaking! Roy Moore's accuser worked for Democratic leaders and is actively campaigning for Moore's opponent.""",1
28,"""Since 2015, Scott Walker has not done a public event where you don't have to pay admission or be on an approved list.""",1
29,"""There are 'sore loser' laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",1
30,"Says the individual mandate is ""highly unpopular.""",1
31,"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",1
32,"""Second Roy Moore Accuser Works For Michelle Obama Right NOW""",1
33,"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",1
34,"""Ending (Temporary Protected Status) and deporting legal workers would cost the United States ~$164 billion in GDP over a decade.""",1
35,"""Snapchat is shutting down!'",1
36,"Says the Republican tax plan ""helps families"" like one in which a woman lost her job and then lost her life savings fighting her husband's cancer.",1
