ratio: 0.1
article_train_X.shape: 1242
article_train_y.shape: 1242
article_test_X.shape: 1384
article_test_y.shape: 1384
Writing to D:\fake_news_detection\runs\1556439652_0.1

2019-04-28T16:20:54.427933: step 1, loss 1.0713, acc 0.609375
2019-04-28T16:20:54.578141: step 2, loss 2.05302, acc 0.5
2019-04-28T16:20:54.694028: step 3, loss 1.59683, acc 0.5625
2019-04-28T16:20:54.805435: step 4, loss 1.87073, acc 0.515625
2019-04-28T16:20:54.916655: step 5, loss 1.75196, acc 0.484375
2019-04-28T16:20:55.021906: step 6, loss 1.51528, acc 0.515625
2019-04-28T16:20:55.128246: step 7, loss 1.80912, acc 0.5
2019-04-28T16:20:55.238921: step 8, loss 1.05198, acc 0.625
2019-04-28T16:20:55.357656: step 9, loss 1.91625, acc 0.46875
2019-04-28T16:20:55.478761: step 10, loss 1.40543, acc 0.59375
2019-04-28T16:20:55.585452: step 11, loss 1.13584, acc 0.59375
2019-04-28T16:20:55.696156: step 12, loss 1.29836, acc 0.578125
2019-04-28T16:20:55.811363: step 13, loss 1.90985, acc 0.5625
2019-04-28T16:20:55.922645: step 14, loss 1.72397, acc 0.46875
2019-04-28T16:20:56.033313: step 15, loss 1.78024, acc 0.484375
2019-04-28T16:20:56.145546: step 16, loss 1.47519, acc 0.515625
2019-04-28T16:20:56.255835: step 17, loss 1.53678, acc 0.546875
2019-04-28T16:20:56.366683: step 18, loss 1.55549, acc 0.484375
2019-04-28T16:20:56.477053: step 19, loss 1.54333, acc 0.578125
2019-04-28T16:20:56.544347: step 20, loss 1.26608, acc 0.5
2019-04-28T16:20:56.655073: step 21, loss 1.25404, acc 0.5
2019-04-28T16:20:56.764333: step 22, loss 1.14218, acc 0.578125
2019-04-28T16:20:56.870075: step 23, loss 1.19713, acc 0.6875
2019-04-28T16:20:56.987762: step 24, loss 1.16372, acc 0.609375
2019-04-28T16:20:57.095021: step 25, loss 1.37909, acc 0.546875
2019-04-28T16:20:57.202096: step 26, loss 1.75156, acc 0.5
2019-04-28T16:20:57.312760: step 27, loss 1.17475, acc 0.5
2019-04-28T16:20:57.421469: step 28, loss 1.49237, acc 0.46875
2019-04-28T16:20:57.531728: step 29, loss 1.4604, acc 0.453125
2019-04-28T16:20:57.641741: step 30, loss 1.58302, acc 0.484375
2019-04-28T16:20:57.774221: step 31, loss 1.3057, acc 0.578125
2019-04-28T16:20:57.888621: step 32, loss 1.33161, acc 0.515625
2019-04-28T16:20:58.002823: step 33, loss 1.38898, acc 0.4375
2019-04-28T16:20:58.116548: step 34, loss 1.03943, acc 0.65625
2019-04-28T16:20:58.225274: step 35, loss 1.08655, acc 0.515625
2019-04-28T16:20:58.333505: step 36, loss 1.14091, acc 0.609375
2019-04-28T16:20:58.438761: step 37, loss 1.34451, acc 0.515625
2019-04-28T16:20:58.549238: step 38, loss 1.56312, acc 0.484375
2019-04-28T16:20:58.662604: step 39, loss 1.08001, acc 0.59375
2019-04-28T16:20:58.728539: step 40, loss 1.2887, acc 0.538462
2019-04-28T16:20:58.855225: step 41, loss 1.14793, acc 0.546875
2019-04-28T16:20:58.989096: step 42, loss 1.3291, acc 0.578125
2019-04-28T16:20:59.112998: step 43, loss 1.06646, acc 0.578125
2019-04-28T16:20:59.241301: step 44, loss 1.22047, acc 0.609375
2019-04-28T16:20:59.371464: step 45, loss 0.825207, acc 0.671875
2019-04-28T16:20:59.492127: step 46, loss 1.20648, acc 0.625
2019-04-28T16:20:59.607782: step 47, loss 1.36385, acc 0.609375
2019-04-28T16:20:59.731619: step 48, loss 1.06967, acc 0.546875
2019-04-28T16:20:59.853526: step 49, loss 1.04217, acc 0.625
2019-04-28T16:20:59.976141: step 50, loss 0.983264, acc 0.671875
2019-04-28T16:21:00.121198: step 51, loss 1.09015, acc 0.59375
2019-04-28T16:21:00.241104: step 52, loss 0.894499, acc 0.625
2019-04-28T16:21:00.360373: step 53, loss 0.926788, acc 0.625
2019-04-28T16:21:00.473084: step 54, loss 0.911355, acc 0.625
2019-04-28T16:21:00.594850: step 55, loss 1.32278, acc 0.640625
2019-04-28T16:21:00.724499: step 56, loss 1.09524, acc 0.578125
2019-04-28T16:21:00.838888: step 57, loss 0.933869, acc 0.65625
2019-04-28T16:21:00.965906: step 58, loss 1.15276, acc 0.671875
2019-04-28T16:21:01.087058: step 59, loss 0.88873, acc 0.640625
2019-04-28T16:21:01.157766: step 60, loss 1.02917, acc 0.730769
2019-04-28T16:21:01.293373: step 61, loss 1.11045, acc 0.578125
2019-04-28T16:21:01.411979: step 62, loss 0.909075, acc 0.59375
2019-04-28T16:21:01.538848: step 63, loss 0.890193, acc 0.65625
2019-04-28T16:21:01.672302: step 64, loss 0.690886, acc 0.671875
2019-04-28T16:21:01.802000: step 65, loss 0.851834, acc 0.625
2019-04-28T16:21:01.924412: step 66, loss 0.89034, acc 0.625
2019-04-28T16:21:02.042790: step 67, loss 0.768191, acc 0.65625
2019-04-28T16:21:02.163301: step 68, loss 0.758717, acc 0.59375
2019-04-28T16:21:02.289777: step 69, loss 1.02332, acc 0.5625
2019-04-28T16:21:02.428615: step 70, loss 0.991285, acc 0.546875
2019-04-28T16:21:02.554447: step 71, loss 0.733928, acc 0.640625
2019-04-28T16:21:02.669347: step 72, loss 0.833975, acc 0.609375
2019-04-28T16:21:02.784521: step 73, loss 0.688296, acc 0.59375
2019-04-28T16:21:02.909869: step 74, loss 1.30375, acc 0.546875
2019-04-28T16:21:03.044244: step 75, loss 1.004, acc 0.609375
2019-04-28T16:21:03.168409: step 76, loss 1.00953, acc 0.625
2019-04-28T16:21:03.298124: step 77, loss 0.593428, acc 0.65625
2019-04-28T16:21:03.424055: step 78, loss 0.805281, acc 0.578125
2019-04-28T16:21:03.566030: step 79, loss 0.808994, acc 0.640625
2019-04-28T16:21:03.644210: step 80, loss 0.606874, acc 0.615385
2019-04-28T16:21:03.768675: step 81, loss 0.855576, acc 0.65625
2019-04-28T16:21:03.904322: step 82, loss 0.826602, acc 0.640625
2019-04-28T16:21:04.023062: step 83, loss 0.936535, acc 0.671875
2019-04-28T16:21:04.146718: step 84, loss 0.63074, acc 0.71875
2019-04-28T16:21:04.263913: step 85, loss 0.789006, acc 0.734375
2019-04-28T16:21:04.379189: step 86, loss 0.975619, acc 0.625
2019-04-28T16:21:04.491830: step 87, loss 0.860386, acc 0.609375
2019-04-28T16:21:04.608518: step 88, loss 0.641469, acc 0.703125
2019-04-28T16:21:04.729103: step 89, loss 0.718618, acc 0.671875
2019-04-28T16:21:04.857759: step 90, loss 0.968318, acc 0.5625
2019-04-28T16:21:04.991224: step 91, loss 0.906342, acc 0.703125
2019-04-28T16:21:05.116374: step 92, loss 0.801318, acc 0.640625
2019-04-28T16:21:05.242522: step 93, loss 0.720704, acc 0.734375
2019-04-28T16:21:05.394640: step 94, loss 0.913812, acc 0.625
2019-04-28T16:21:05.534067: step 95, loss 0.87699, acc 0.65625
2019-04-28T16:21:05.684532: step 96, loss 0.638879, acc 0.703125
2019-04-28T16:21:05.820063: step 97, loss 0.635691, acc 0.71875
2019-04-28T16:21:05.972151: step 98, loss 1.17718, acc 0.515625
2019-04-28T16:21:06.169902: step 99, loss 0.752657, acc 0.578125
2019-04-28T16:21:06.253460: step 100, loss 0.762212, acc 0.653846

Evaluation:
2019-04-28T16:21:06.961740: step 100, loss 0.775825, acc 0.507948, predictions1384

Saved model checkpoint to D:\fake_news_detection\runs\1556439652_0.1\checkpoints\model-100

2019-04-28T16:21:07.303264: step 101, loss 0.859525, acc 0.609375
2019-04-28T16:21:07.426398: step 102, loss 1.05879, acc 0.5
2019-04-28T16:21:07.548853: step 103, loss 0.644316, acc 0.625
2019-04-28T16:21:07.698290: step 104, loss 0.754676, acc 0.609375
2019-04-28T16:21:07.843729: step 105, loss 0.58607, acc 0.703125
2019-04-28T16:21:07.956928: step 106, loss 0.946612, acc 0.65625
2019-04-28T16:21:08.063183: step 107, loss 0.625385, acc 0.828125
2019-04-28T16:21:08.168042: step 108, loss 0.514284, acc 0.703125
2019-04-28T16:21:08.280295: step 109, loss 0.417881, acc 0.796875
2019-04-28T16:21:08.400916: step 110, loss 0.62591, acc 0.75
2019-04-28T16:21:08.519766: step 111, loss 0.790196, acc 0.640625
2019-04-28T16:21:08.642322: step 112, loss 0.567831, acc 0.71875
2019-04-28T16:21:08.764974: step 113, loss 0.476836, acc 0.828125
2019-04-28T16:21:08.907644: step 114, loss 0.987583, acc 0.515625
2019-04-28T16:21:09.082266: step 115, loss 0.732603, acc 0.734375
2019-04-28T16:21:09.217365: step 116, loss 0.777475, acc 0.546875
2019-04-28T16:21:09.365762: step 117, loss 0.86426, acc 0.59375
2019-04-28T16:21:09.504561: step 118, loss 0.558854, acc 0.71875
2019-04-28T16:21:09.653627: step 119, loss 0.670911, acc 0.6875
