,content,rating
0,"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",0
1,"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",0
2,"""When we came into office, we saw that Missouri had 113,000 regulations. That's more than 7.5 million words; it's 40 dictionaries worth of regulations.""",0
3,"""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",0
4,"""Underreported fact: President @realDonaldTrump raised more in small dollar donations than Obama in 2012 and than Clinton and Bernie combined!""",0
5,"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",0
6,"""CPS students are learning and growing faster than 96 percent of students in the United States.""",0
7,"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",0
8,"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",0
9,"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",0
10,"The diversity visa lottery is ""plagued by fraud.""",0
11,"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal.""",0
12,"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",0
13,"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",0
14,"""We're growing union jobs faster than Illinois.""",0
15,"""We are spending more on affordable housing than we're spending on Dix Park right now.""",0
16,"Says county parties representing more than half the state's Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",0
17,"""The six wealthiest people in the world (have) as much wealth as the bottom half of the world's population, 3.7 billion people.""",0
18,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",0
19,"What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",0
20,"""There are parks in Southeast Raleigh that still don't have air conditioning in the gym""",0
21,"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",0
22,"""Seventy-three percent of our veterans are graduating from drug courts. By contrast, I think most of the people in the very good drug court program  〞 the graduation rate's like 53, 55 percent. The point of that is that drug courts are working for veterans.""",0
23,"""Women in our state will continue to have cost-free access to reproductive health care""",0
24,"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",0
25,"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",0
26,"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime  〞 crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",0
27,"""Job creation fell by 70 percent in Wisconsin in 2016"" under Scott Walker.",0
28,"""Our tax code has nearly doubled since 1985.""",0
29,"""There is a real law in Texas that says it's illegal to own more than six dildos.""",0
30,"The NFL is ""getting massive tax breaks.""",0
